t,Antenna ID,Event Code,Device ID,x,y, Tile ID
1380,8,2,94,5008.779808,5887.800412,230
1380,6,2,61,4301.983312,6433.567226,248
1440,5,2,51,2118.296203,3557.773910,144
1440,2,2,67,182.916560,8017.336519,320
1440,6,2,42,3205.272319,7886.414037,306
1440,4,2,44,1769.004785,6757.952509,263
1440,22,2,78,8669.829450,4505.662845,197
1440,6,2,61,4301.983312,6433.567226,248
1440,17,2,64,670.980719,9079.943553,361
1440,8,2,74,5013.491356,7220.972134,290
1440,10,2,85,8353.182447,6997.987108,276
1440,8,2,94,5008.779808,5887.800412,230
1440,3,2,28,1706.306858,4533.673063,183
1440,7,2,53,4312.083369,1969.659951,68
1440,8,2,72,5066.090369,6835.479271,270
1440,7,2,37,4879.977199,3982.194577,149
1500,2,2,67,182.916560,8017.336519,320
1500,5,2,51,2118.296203,3557.773910,144
1500,22,2,78,8669.829450,4505.662845,197
1500,3,2,28,1706.306858,4533.673063,183
1500,4,2,44,1769.004785,6757.952509,263
1500,8,2,94,5008.779808,5887.800412,230
1500,8,2,74,5013.491356,7220.972134,290
1500,10,2,85,8353.182447,6997.987108,276
1500,17,2,64,670.980719,9079.943553,361
1500,6,2,61,4301.983312,6433.567226,248
1500,7,2,37,4879.977199,3982.194577,149
1500,7,2,53,4312.083369,1969.659951,68
1500,6,2,42,3205.272319,7886.414037,306
1500,8,2,72,5066.090369,6835.479271,270
1560,7,2,37,4879.977199,3982.194577,149
1560,6,2,42,3205.272319,7886.414037,306
1560,6,2,61,4301.983312,6433.567226,248
1560,8,2,72,5066.090369,6835.479271,270
1560,7,2,53,4312.083369,1969.659951,68
1560,5,2,51,2118.296203,3557.773910,144
1560,8,2,74,5013.491356,7220.972134,290
1560,8,2,94,5008.779808,5887.800412,230
1560,17,2,64,670.980719,9079.943553,361
1560,4,2,44,1769.004785,6757.952509,263
1560,10,2,85,8353.182447,6997.987108,276
1560,2,2,67,182.916560,8017.336519,320
1560,22,2,78,8669.829450,4505.662845,197
1560,3,2,28,1706.306858,4533.673063,183
1620,7,2,37,4879.977199,3982.194577,149
1620,4,2,44,1769.004785,6757.952509,263
1620,2,2,67,182.916560,8017.336519,320
1620,6,2,61,4301.983312,6433.567226,248
1620,17,2,64,670.980719,9079.943553,361
1620,10,2,85,8353.182447,6997.987108,276
1620,8,2,94,5008.779808,5887.800412,230
1620,8,2,72,5066.090369,6835.479271,270
1620,7,2,53,4312.083369,1969.659951,68
1620,22,2,78,8669.829450,4505.662845,197
1620,6,2,42,3205.272319,7886.414037,306
1620,5,2,51,2118.296203,3557.773910,144
1620,8,2,74,5013.491356,7220.972134,290
1620,3,2,28,1706.306858,4533.673063,183
1680,2,2,67,182.916560,8017.336519,320
1680,7,2,53,4312.083369,1969.659951,68
1680,22,2,78,8669.829450,4505.662845,197
1680,17,2,64,670.980719,9079.943553,361
1680,8,2,94,5008.779808,5887.800412,230
1680,8,2,74,5013.491356,7220.972134,290
1680,6,2,42,3205.272319,7886.414037,306
1680,3,2,28,1706.306858,4533.673063,183
1680,4,2,44,1769.004785,6757.952509,263
1680,5,2,51,2118.296203,3557.773910,144
1680,6,2,61,4301.983312,6433.567226,248
1680,8,2,72,5066.090369,6835.479271,270
1680,7,2,37,4879.977199,3982.194577,149
1680,10,2,85,8353.182447,6997.987108,276
1740,5,2,51,2118.296203,3557.773910,144
1740,2,2,67,182.916560,8017.336519,320
1740,8,2,72,5066.090369,6835.479271,270
1740,8,2,74,5013.491356,7220.972134,290
1740,10,2,85,8353.182447,6997.987108,276
1740,3,2,28,1706.306858,4533.673063,183
1740,8,2,94,5008.779808,5887.800412,230
1740,22,2,78,8669.829450,4505.662845,197
1740,17,2,64,670.980719,9079.943553,361
1740,7,2,37,4879.977199,3982.194577,149
1740,6,2,42,3205.272319,7886.414037,306
1740,6,2,61,4301.983312,6433.567226,248
1740,4,2,44,1769.004785,6757.952509,263
1740,7,2,53,4312.083369,1969.659951,68
1800,6,2,42,3205.272319,7886.414037,306
1800,5,2,51,2118.296203,3557.773910,144
1800,4,2,44,1769.004785,6757.952509,263
1800,22,2,78,8669.829450,4505.662845,197
1800,3,2,28,1706.306858,4533.673063,183
1800,8,2,94,5008.779808,5887.800412,230
1800,2,2,67,182.916560,8017.336519,320
1800,6,2,61,4301.983312,6433.567226,248
1800,10,2,85,8353.182447,6997.987108,276
1800,8,2,72,5066.090369,6835.479271,270
1800,17,2,64,670.980719,9079.943553,361
1800,7,2,53,4312.083369,1969.659951,68
1800,7,2,37,4879.977199,3982.194577,149
1800,8,2,74,5013.491356,7220.972134,290
1860,22,2,78,8669.829450,4505.662845,197
1860,10,2,85,8353.182447,6997.987108,276
1860,6,2,61,4301.983312,6433.567226,248
1860,5,2,51,2118.296203,3557.773910,144
1860,4,2,44,1769.004785,6757.952509,263
